Nr	Name	Land	Wahlberechtigte	Wähler	Ungültige	Ungültige	Gültige	Gültige	SPD	SPD	CDU	CDU	CSU	CSU	FDP	FDP	NPD	NPD	DFU	DFU	AUD	AUD	CVP	CVP	FSU	FSU	UAP	UAP	EFP	Übrige
					Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Erststimmen	Zweitstimmen	Zweitstimmen	Erststimmen
																														
122	Arnsberg – Soest	NW	162201	146148	2735	2481	143413	143667	48702	48557	82258	80131	0	0	10062	11783	1652	1835	739	739	0	55	0	476	0	38	0	53	0	0
123	Unna	NW	156318	141879	4266	2195	137613	139684	74323	73784	52098	52877	0	0	6939	8745	2480	2369	1594	1605	179	137	0	45	0	68	0	54	0	0
124	Altena – Lüdenscheid	NW	162167	141448	3605	2091	137843	139357	63655	63563	56412	55192	0	0	13130	15377	3321	3685	1097	1133	0	53	0	51	228	244	0	59	0	0
125	Siegen –  Wittgenstein	NW	180332	157016	2928	2623	154088	154393	68751	64484	71198	69141	0	0	10315	15750	1735	2293	1358	1720	731	796	0	87	0	51	0	71	0	0
905	Nordrhein-Westfalen	NW	11322627	9920068	259676	168836	9660392	9751232	4178408	4149910	4655973	4593281	0	0	596375	739954	97972	110299	111823	125202	12441	11428	3241	10830	2746	6369	1127	3959	0	286
																														
126	Waldeck	HE	130624	113582	4005	2675	109577	110907	51196	50989	31549	33229	0	0	23722	23050	1983	2305	706	902	421	432	0	0	0	0	0	0	0	0
127	Kassel	HE	175975	155552	2687	4354	152865	151198	79616	77224	50050	48207	0	0	16413	18513	3445	3563	3341	3517	0	174	0	0	0	0	0	0	0	0
128	Eschwege	HE	126373	115060	3601	2901	111459	112159	64298	63172	31120	31780	0	0	12760	13508	2098	2328	1183	1275	0	96	0	0	0	0	0	0	0	0
129	Fritzlar-Homberg	HE	125911	110811	3751	3448	107060	107363	48920	49775	28386	34167	0	0	27121	20034	1651	2220	633	760	349	407	0	0	0	0	0	0	0	0
